Age,Gender,Year of Study,Total Monthly Expense in HKD,Beef,Chicken,Pork,Vegan,Fish,"Other sea food (Eg. Shrimp, Squid)"
21,Male,4,4000,5,5,3,3,3,3
21,Male,4,4000,1,4,2,3,1,1
21,Female,4,5000,1,5,4,4,1,1
21,Male,4,4000,1,1,1,4,1,1
21,Female,4,4000,1,3,1,5,1,1
22,Male,1,6000,1,5,3,2,3,3
21,Male,4,4000,2,5,4,1,3,3
22,Male,4,10000,2,2,2,5,1,1
22,Male,4,4000,5,2,3,1,3,1
21,Male,4,5000,4,5,4,3,1,1
21,Male,4,2000,3,5,2,1,3,1
22,Male,4,6000,1,5,1,5,1,1
21,Female,4,3000,5,4,4,1,1,1
22,Male,4,6000,1,5,1,5,1,1
22,Male,4,3000,3,4,2,2,1,1
20,Female,3,4000,2,5,4,4,4,4
21,Male,4,4000,1,1,1,4,1,1
22,Male,3,3000,4,5,4,1,1,1
20,Male,3,6500,5,1,1,1,2,1
21,Female,2,4500,4,4,4,3,3,5
20,Male,2,2500,3,4,4,1,3,2
21,Female,2,2500,5,3,2,5,3,4
20,Female,2,3000,4,5,4,2,5,1
20,Female,2,2800,5,4,3,4,4,4
20,Female,2,3000,1,4,4,1,4,3
20,Male,3,2000,5,4,5,1,2,4
23,Male,3,5000,4,5,2,1,4,1
20,Female,2,2500,5,3,3,4,3,2
21,Female,2,2500,5,3,4,1,1,1
23,Male,4,3000,4,5,4,2,4,4
21,Male,3,1000,3,3,3,5,3,3
21,Male,3,3000,3,4,4,2,4,4
24,Female,5,11000,4,4,4,1,4,4
21,Female,3,5000,3,5,4,2,2,3
22,Male,4,3000,5,5,3,1,3,3
27,Female,3,11000,2,5,3,2,4,4
19,Male,2,5000,5,4,2,1,3,4
21,Male,3,8000,5,4,4,1,3,1
21,Male,4,4000,3,5,3,1,3,3
31,Others,4,8000,1,5,1,5,5,5
23,Female,4,4000,5,5,5,4,5,3
29,Male,2,5000,1,4,4,2,4,3
26,Male,1,7000,5,4,5,1,3,3
23,Female,4,4000,5,5,5,4,5,3
19,Female,2,3500,5,3,4,1,2,1
24,Male,1,10000,1,5,5,3,5,5
22,Male,3,5000,5,4,4,1,3,3
20,Female,3,400,5,4,1,2,2,5
21,Female,2,4500,4,4,4,3,3,5
21,Male,4,2000,3,5,2,1,3,1
21,Male,4,2000,3,5,2,1,3,1
21,Female,3,3000,2,5,5,2,3,4
20,Male,3,2000,5,4,5,1,2,4
22,Male,4,3000,3,4,2,2,1,1
20,Male,4,3000,5,4,3,4,3,2
21,Male,2,2000,3,4,4,3,4,4
19,Male,2,4000,5,3,4,1,3,3
21,Male,2,3000,4,5,2,1,3,2
21,Male,3,3000,1,5,5,2,3,4
21,Male,3,3500,3,4,4,4,5,4
23,Female,5,3000,5,3,4,2,4,3
24,Female,5,3000,1,5,5,5,5,5
21,Male,4,3500,4,5,2,4,3,2
22,Male,4,4000,5,3,3,1,4,2
20,Male,3,3500,5,4,2,2,3,1
19,Female,2,3000,5,5,3,1,3,2
22,Male,5,4000,5,4,4,2,2,1
20,Male,3,5000,5,5,4,2,2,2
22,Male,4,4000,5,4,3,2,2,1
22,Female,4,4000,5,4,4,1,4,2
20,Male,2,3500,5,4,2,2,3,2
21,Female,3,3000,5,4,2,1,2,2
20,Female,3,3000,5,5,2,4,3,2
21,Male,3,3000,5,5,5,4,5,5
21,Male,3,3000,5,5,5,4,5,5
23,Male,4,2000,5,5,5,5,5,5
22,Male,3,2500,2,4,4,2,2,1
20,Male,3,2500,4,4,4,1,4,3
20,Female,3,4000,5,4,2,3,2,1
19,Male,2,2000,3,4,3,4,3,4
22,Male,4,2300,5,5,1,3,3,2
21,Male,2,6000,4,3,3,1,2,1
19,Female,2,2000,4,2,2,4,2,2
19,Female,2,6000,4,5,3,4,1,2
23,Male,5,4000,5,4,3,4,3,2
20,Male,2,3500,4,5,3,4,2,2
22,Female,5,4000,5,3,3,1,2,1
19,Male,1,4500,5,3,1,4,3,1
22,Male,3,4000,5,1,4,1,3,3
22,Male,3,4000,4,4,4,1,3,2
21,Male,3,2200,5,5,5,3,5,5
23,Male,4,3500,5,4,4,3,4,5
21,Male,5,3000,5,4,3,4,3,2
20,Male,3,3500,5,3,4,3,4,2
19,Male,2,3000,4,5,4,3,4,2
21,Male,4,4000,5,5,3,2,3,2
23,Male,4,3500,5,4,4,3,4,5
21,Male,2,3000,4,5,4,5,4,4
22,Female,3,2000,5,5,5,5,5,5
24,Male,2,3000,5,5,5,5,5,5
